index,id,claim
252,37466,"The 2020 presidential election was being ""stolen"""
253,37475,Dominion Voting Systems stole the 2020 presidential election from Donald Trump.
254,37607,The election was stolen from Mr Trump
255,37679,The election had been stolen from President Donald Trump.
256,37841,The 2020 U.S. election was rigged against Donald Trump.
257,38113,The 2020 presidential election was stolen by widespread voter fraud.
258,38186,The 2020 U.S. Presidential Election was stolen.
259,38299,The 2020 election was fake or rigged.
260,38799,Donald Trump said that election fraud took place during the 2020 presidential race.
261,38839,Donald Trump claimed that Democrats stole the election from him.
262,39054,The 2020 election was rigged and stolen.
263,39117,Voter fraud cost former President Donald Trump reelection in 2020.
264,39163,"The 2020 election, however, featured unprecedented allegations of voter fraud, violations and lax enforcement of election law, and other voting irregularities."
265,39443,The 2020 election was stolen through voter fraud and falsification.
266,39499,A major election was stolen.
267,39610,Donald Trump tried to steal the election.
268,39837,The 2020 election had been stolen from Donald Trump.
269,40514,Trump's ability to make claims directly to the public over social media and in televised interviews contributed to the false belief that the 2020 election was stolen.
270,40617,The 2020 presidential election was rife with fraud and stolen from Trump.
271,40688,"A strong majority of Republicans, after all, falsely believe the 2020 election was stolen."
272,41095,The November election was stolen.
273,41391,Claims of fraud in the 2020 election were false.
274,41539,The former president's lies of a stolen election
275,41540,Election fraud led to his defeat in Wisconsin in 2020.
276,41726,Donald Trump lost the 2020 election and gave us Joe Biden
277,42249,The 2020 election was stolen and rigged in Biden's favor.
278,42250,"Trump started off the night falsely claiming that millions of votes were stolen in the 2020 race, and that the election was rigged."
279,42272,The 2020 election was a rigged election.
280,42303,The 2020 presidential election was stolen from him due to voter fraud.
281,42673,"The 2020 presidential election was ""stolen"" from him."
282,42689,Donald Trump repeated claims that the 2020 election was stolen.
283,43073,Trump continues to promote the fiction that the 2020 election was 'stolen' from him.
284,43216,A rigged election took place in 2020.
285,43495,Widespread voter fraud cost Trump the 2020 election.
286,43987,Donald Trump claimed the 2020 election was rigged against him
287,44350,The 2020 presidential election was stolen from Donald Trump via fraud.
288,44418,Former president Donald Trump claimed that the 2020 presidential election in Georgia was fraudulent.
289,44637,This election was stolen from the people.
290,44671,Trump has shielded himself from this reality by insisting falsely that he won the 2020 election only to have the Democrats steal it.
291,44853,The 2020 election in Georgia was stolen.
292,45177,Trump repeated his lies about the 2020 election being stolen from him.
293,45219,"His defeat was due to an election ""stolen"" through ""massive voter fraud."""
294,45408,Donald Trump claimed that the election was stolen from him.
295,45438,The 2020 election was stolen due to widespread voter fraud.
296,45943,Voter fraud cost Donald Trump the 2020 election.
297,46165,"The ""fraudulent"" 2020 election was ""stolen"" from him."
298,46261,Trump was a victim of widespread voter fraud in 2020.
299,46291,Widespread election fraud caused his defeat in 2020
300,46295,The 2020 presidential election was stolen from him
301,46315,"The election had been ""stolen"""
302,46436,The election was stolen from former President Trump.
303,46586,The election was somehow stolen from him.
304,46587,Joe Biden did not legally win the presidential election
305,46596,The 2020 election involved widespread voter fraud and was stolen from Donald Trump.
306,46678,Widespread voter fraud cost former President Donald Trump the 2020 presidential election.
307,46692,The election had been stolen from Donald Trump
308,46732,The stolen election of 2020
309,46742,Donald Trump won the 2020 presidential election but had it stolen from him by the Democratic Party.
310,46929,The 2020 election was rigged or stolen to install President Joe Biden in the White House.
311,47083,"The election was ""stolen"" and the ""real"" insurrection was on Nov. 3, 2020."
312,47158,"The 2020 election was ""stolen"" from Donald Trump due to an unprecedented nationwide conspiracy of voter fraud."
313,47256,The election was stolen last time
314,47383,The 2020 election was fraudulent and rigged.
315,47405,The 2020 election was not stolen.
316,47462,Former President Donald Trump claimed that the 2020 election was won as a result of nationwide voter fraud.
317,47495,The Maricopa County 2020 election was stolen from Donald Trump.
318,47537,The election was stolen from us.
319,47566,The 2020 election had been stolen from him
320,47717,The 2020 election was rigged or stolen in Biden's favor.
321,47788,The 2020 election had been 'stolen' from Donald Trump.
322,47909,"The election was ""RIGGED"" and ""stolen."""
323,47946,Former President Donald Trump claimed that the 2020 presidential election was stolen from him.
324,47958,Donald Trump claimed that the Capitol insurrection was a result of a stolen election.
325,47971,The 2020 election was a crime.
326,48054,Donald Trump falsely claimed that his 2020 election loss was due to massive voter fraud.
327,48257,The lies that led many millions to believe the falsehood that the 2020 election was stolen must end.
328,48273,Donald Trump stole the 2016 election.
329,48293,Donald Trump believes the last election was stolen from him.
330,48410,Joe Biden stole the 2020 election.
331,48504,Democrats stole the 2020 vote.
332,48652,Democrats stole the 2020 election.
333,48653,The election was rigged and stolen from Trump.
334,48784,Donald Trump alleged that the election was stolen by Democrats.
335,48822,The election was in all likelihood stolen through fraud and election irregularities.
336,48862,"Trump was expected to use the Thursday news conference to reiterate his false claim that the 2020 presidential election was stolen from him through widespread voter fraud, as well as criticize the House select committee investigating the events of Jan. 6."
337,48872,A large segment of the population believes there was fraud in the 2020 election.
338,48899,The 2020 presidential election was rigged and stolen by Democrats using dishonest mail-in ballot tactics in the midst of the pandemic.
339,48905,"The election was 'stolen' and the 'real' insurrection was on Election Day, November 3, 2020."
340,48915,Former President Donald Trump made unfounded fraud claims in the 2020 presidential election.
341,48985,Voter fraud helped Biden win the 2020 election.
342,49008,Donald Trump encouraged voter fraud following the 2020 presidential election
343,49148,"The 2020 election was a political and administrative triumph, free of fraud, third-party interference, or other administrative problems that plagued the 2018 election."
344,49368,The election was 100 percent stolen.
345,49566,The 2020 election was rigged and stolen by Democrats for Joe Biden.
346,49730,The 2020 election was a fraud.
347,49909,The election was 100% stolen.
348,50166,Former President Donald Trump claimed that he lost the 2020 election due to voter fraud.
349,50275,The 2020 presidential election was rigged and corrupt.
350,50282,The election was stolen from President Donald Trump.
351,50285,Donald Trump claimed that the 2020 presidential election was fraudulent.
352,50375,"The 2020 election was fraudulent, stolen by Democrats."
353,50461,"Trump falsely claimed the election was invalid, i.e., stolen."
354,50503,Widespread voter fraud cost Donald Trump the 2020 election.
355,50509,Massive voter fraud cost me the 2020 election.
356,50513,The 2020 election was illegally rigged against Donald Trump through widespread voter fraud.
357,50518,The 2020 US election was marred by widespread fraud.
358,50571,"An unprecedented nationwide conspiracy of voter fraud ""stole"" the 2020 election from Donald Trump."
359,50613,The 2020 presidential election was marred by fraud and future elections were vulnerable to the same misdeeds.
360,50859,The election was stolen from former President Donald Trump
361,50895,The 2020 election was stolen from me through massive voter fraud.
362,50930,The election was stolen through widespread voter fraud.
363,50942,Former President Donald Trump made false claims of widespread voter fraud in the 2020 election.
364,50950,The recent presidential election was stolen from former President Donald Trump.
365,51068,Former President Donald Trump made the claim that voter fraud contributed to his White House loss in 2020.
366,51174,The election was stolen and I am the true winner.
367,51181,"He won the 2020 election, but had his victory stolen by corrupt election officials and Black and brown people casting fraudulent votes."
368,51260,The 2020 election was rigged or stolen through widespread voter fraud.
369,51310,Mr Trumps false claims of a stolen election
370,51369,There was widespread voter fraud in the 2020 Election
371,51650,Trump claimed that he won the 2020 election by a landslide and that it was stolen from him.
372,51742,The election was stolen and rigged.
373,51751,The 2020 election was rigged and rife with widespread voter fraud.
374,51765,The 2020 election was rigged or stolen by President Joe Biden and the Democrats.
375,51773,Trump insisted the 2020 election was rife with fraud.
376,51894,"The election was ""stolen"" due to mass voter fraud and other irregularities."
377,52036,"Some form of voter fraud ""stole"" the election from him in favor of President Joe Biden."
378,52044,The 2020 election was rigged against former President Donald Trump.
379,52061,The 2020 US election had been marred by widespread fraud.
380,52063,There is widespread voter fraud in the 2020 election.
381,52131,Former President Donald Trump claimed that there was election fraud.
382,52134,The 2020 election fraud was stolen from me.
383,52302,His loss in the 2020 election was fraudulent.
384,52347,The election was stolen from him through fraud.
385,52556,The 2016 presidential election was stolen for Trump by the Russian government.
386,52590,"The 2020 election had been ""rigged and stolen."""
387,52630,Donald Trump attempted to steal the 2020 presidential election through fraud.
388,52744,Former President Donald Trump claimed that there was fraud in the presidential election.
389,52761,"The 2020 election was ""rigged"" or ""stolen""."
390,52837,They stole the election from Donald Trump
391,52879,"The 2020 election was stolen from me, the Republican Party, and its voters."
392,52946,Trump lost the election because of fraud.
393,53013,The 2020 Presidential Election was somehow stolen.
394,53033,Trump is demanding it based on his false claims of a stolen 2020 election
395,53051,The 2020 election was stolen from Donald Trump through widespread voter fraud.
396,53074,Victory in last year's election was stolen from him
397,53103,There was widespread election fraud in the 2020 election.
398,53485,The former presidents oft-repeated charge that the election was stolen
399,53608,The supposedly stolen 2020 Presidential election
400,53632,The rigged election was stolen from him based on mail-in and absentee voting.
401,53658,The bogus claim that a vast conspiracy of fraud cost Trump the 2020 election.
402,54023,The election had been stolen and that Trump had won in a 'landslide.'
403,54024,Donald Trump claimed that there was widespread election fraud in the 2020 election.
404,54026,Donald Trump claimed that there was election fraud.
405,54213,Donald Trump falsely claimed he lost the 2020 election because of widespread fraud.
406,54257,"An unprecedented, nationwide conspiracy of voter fraud ""stole"" the 2020 election from Trump."
407,54387,The election of 2020 was stolen
408,54453,A Big Lie of a stolen election
409,54559,The 2020 election was stolen from Donald Trump in plain sight.
410,54657,This election was stolen from Donald J. Trump.
411,54700,The election was stolen from him by widespread voter fraud.
412,54768,Trump falsely claimed that the 2020 election was stolen from Hillary Clinton due to non-existent collusion between him and Russia.
413,54804,Donald Trump made false claims about widespread voter fraud in the 2020 election.
414,54913,The 2020 election was stolen from Donald Trump because of widespread voter fraud.
415,54959,"President Biden admitted yesterday, in his own very different way, that the 2020 election may very well have been a fraud."
416,54983,The 2020 election was stolen and should have been overturned
417,55039,Trump tried to steal the election
418,55048,The election in 2020 was stolen.
419,55089,There was election fraud that prevented Donald Trump from winning the state
420,55155,"The election was ""stolen""."
421,55314,Biden cheated.
422,55379,The election wasn't stolen.
423,55381,Widespread election fraud caused Trump's 2020 loss to President Joe Biden.
424,55385,Widespread voter fraud caused his 2020 election defeat.
425,55429,Donald Trump falsely claimed that he lost the 2020 election due to widespread voter fraud.
426,55436,The 2020 election may very well have been a fraud
427,55714,"Biden had ""admitted"" that there was election fraud in 2020."
428,55744,Trump claimed that the 2020 election was fraudulent.
429,55756,"President Biden admitted yesterday, in his own very different way, that the 2020 election may very well have been a fraud, which I know it was."
430,55779,Voter fraud cost me the 2020 election.
431,55898,Voting fraud cost Donald Trump the 2020 presidential election.
432,55926,The 2020 election was fraudulent or inaccurately tallied
433,55957,The presidential election was stolen from Trump due to mass fraud or foreign meddling.
434,55959,"The Presidency was stolen from Donald Trump by a cabal of Democrats, election officials, and poll workers who perpetrated election fraud."
435,56108,The 2020 election was inaccurate or stolen.
436,56110,The 2020 election was stolen from me through voter fraud.
437,56296,The whole claim that the election was rigged and stolen from Trump.
438,56380,The 2020 election was stolen by Joe Biden.
439,56383,The vote was marred by widespread fraud and had been 'stolen' from him.
440,56444,There was widespread voter fraud throughout the country in the 2020 election.
441,56448,There was rampant electoral fraud in 2020 that changed the outcome.
442,56518,The 2020 presidential election was stolen from former President Trump.
443,56839,The 2020 election was stolen from poor Donald Trump.
444,56880,"The 2020 election wasn't real, it was fraudulent and Trump was actually re-elected"
445,56899,Donald Trump claimed that the 2020 presidential election was rigged.
446,57041,The charge the presidential election was stolen through state-by-state fraud.
447,57225,"66 percent of Republicans believe the Big Lie that the 2020 presidential election was ""stolen"" from Donald Trump."
448,57354,The 2020 election was stolen from Mr. Trump
449,57467,The presidential election was stolen due to voter fraud.
450,57490,The 2020 election results were compromised.
451,57576,The 2020 election was rigged due to widespread voter fraud.
452,57804,The election was tainted by fraud.
453,58144,Trump tried to steal the 2020 election
454,58367,Donald Trump sought to elect state and federal officeholders who support his false claim that the 2020 election was stolen.
455,58623,Last year's presidential election was stolen.
456,58748,"An unprecedented nationwide conspiracy of voter fraud ""stole"" the 2020 election from the former president."
457,58764,The 2020 election was somehow stolen
458,58940,The 2020 presidential election was stolen and riddled with fraud.
459,59001,"The 2020 election was ""stolen"" from Donald Trump."
460,59058,"The 2020 election was ""rigged"" or ""stolen"" by President Joe Biden and the Democrats."
461,59089,The 2020 presidential elections was marred by widespread voter fraud.
462,59093,Former President Donald Trump claimed that the election was stolen.
463,59248,Donald Trump won re-election in 2020 but was defrauded of his victory.
464,59252,"The false Republican claim that Joe Biden ""stole"" the 2020 election from Donald Trump"
465,59259,The 2020 vote was rigged against Donald Trump.
466,59332,President Trump told everybody the election was stolen
467,59352,The ex-president had the election stolen from him.
468,59375,Trump repeated the 'big lie' that the election was stolen
469,59377,"The 2020 election was ""stolen"" or ""rigged"" by Democrats."
470,59380,The surge in attempts to curb voting access is linked to former President Donald Trumps repeated false claims that the November election was stolen from him and attempts to prevent historic voter turnout seen in 2020 from repeating itself
471,59392,The 2020 election was rigged or stolen by Democrats.
472,59397,The former president's lies that he lost the 2020 election due to voter fraud.
473,59459,"Former President Donald Trump claimed that he was the victim of a ""stolen"" election due to massive voter fraud."
474,59622,The 2020 election was stolen and rigged.
475,59657,"Trump's pre-election propaganda stated that if he lost the election, it was stolen."
476,59687,Donald Trump claimed that the 2020 presidential election was rigged and stolen.
477,59693,The 2020 election was stolen from Donald J. Trump.
478,59793,Election fraud caused him to lose the 2020 election.
479,59819,Fraud had impacted the 2020 presidential election
480,60009,The 2020 election was subject to baseless claims of election fraud.
481,60604,Donald Trump made false claims of widespread voter fraud in the 2020 election.
482,60713,There was pervasive Voter Fraud in the 2020 Election.
483,61430,The election was stolen from me by widespread voter fraud.
484,61440,The presidential election was stolen.
485,61502,The 2020 election was rigged against Trump.
486,61602,The election was stolen and voter fraud was rampant across the country.
487,61730,This election was stolen.
488,61789,The 2020 election was fraudulent and rigged against him.
489,61813,The election had been stolen from him because of widespread voter fraud.
490,61827,Trump's false claims of a stolen election
491,61844,The 2020 Presidential election was awash with widespread voter fraud.
492,62106,"The fraud in the 2020 Presidential election was so obvious, even a caveman would know the election was stolen."
493,62232,The 2020 US presidential election result was a 'big lie' and it had been stolen from Donald Trump.
494,62263,The election is stolen.
495,62561,"The election had been ""stolen"" from him illegitimately."
496,62611,The 2020 election was stolen from Trump and Biden wasn't legitimately elected.
